User_Id,Place_Id,Place_Ratings,Comment
1,179,3,"Candi Ratu Boko rasanya agak kurang greget, tapi tetep layak dicoba kok."
1,344,2,"Sebenarnya bisa jadi tempat bagus, tapi Pantai Marina kayaknya butuh banyak perbaikan."
1,5,5,"Atlantis Water Adventure bikin hati senang banget! Tempatnya asik parah, pokoknya rekomen deh."
1,373,3,"Buat refreshing, Museum Kereta Ambarawa masih oke lah, walaupun gak spesial banget."
1,101,4,"Nyaman banget di Kampung Wisata Sosro Menduran, walaupun gak sepenuhnya sempurna."
1,312,2,"Ada beberapa hal di Taman Hutan Raya Ir. H. Juanda yang bikin kecewa, gak sesuai harapan."
1,258,5,"Suasananya enak, pemandangannya cakep banget di Museum Gedung Sate. Worth every penny!"
1,20,4,"Museum Taman Prasasti itu bagus banget, tapi ada beberapa hal yang bisa ditingkatkan lagi."
1,154,2,"Ada beberapa hal di Pantai Ngrawe (Mesra) yang bikin kecewa, gak sesuai harapan."
1,393,5,"Berasa kayak mimpi pas di Taman Harmoni Keputih, saking bagusnya. Harus banget balik lagi!"
1,103,3,"Buat refreshing, Tugu Pal Putih Jogja masih oke lah, walaupun gak spesial banget."
1,208,5,"Kalau bisa kasih lebih dari 5 bintang buat Taman Sungai Mudal, pasti aku kasih!"
1,89,3,"De Mata Museum Jogja biasa aja sih menurutku, tapi lumayan buat pengalaman baru."
1,405,5,"Kalau bisa kasih lebih dari 5 bintang buat Surabaya North Quay, pasti aku kasih!"
1,41,5,Semua di Museum Bahari Jakarta tuh pas banget. Gak ada yang mengecewakan sama sekali.
1,336,4,"Grand Maerakaca itu bagus banget, tapi ada beberapa hal yang bisa ditingkatkan lagi."
1,67,4,"Keren, Margasatwa Muara Angke emang tempat liburan yang cocok buat keluarga atau teman."
1,292,3,"Masih banyak tempat lain yang lebih menarik, tapi Curug Anom juga gak buruk."
1,222,3,"Masih banyak tempat lain yang lebih menarik, tapi Museum Konferensi Asia Afrika juga gak buruk."
1,76,2,"Aku sebenernya berharap lebih dari Taman Cattleya, tapi yaudah lah."
1,428,3,"Kalau cuma buat foto-foto, Monumen Bambu Runcing Surabaya lumayan menarik, tapi gak lebih dari itu."
1,15,3,"Mungkin karena harapanku tinggi, jadinya Pasar Seni terkesan biasa aja."
1,246,4,"Curug Tilu Leuwi Opat bikin hati adem, overall pengalaman di sini menyenangkan!"
1,265,5,"Gilaa, Museum Mandala Wangsit Siliwangi keren banget! Liburan jadi lebih seru gara-gara ke sini."
